Old,New
Almonds; with shell,Almonds; in shell
Anise; badian; fennel; coriander,Anise; badian; coriander; cumin; caraway; fennel and juniper berries; raw
Apples,Apples
Apricots,Apricots
Areca nuts,Areca nuts
Artichokes,Artichokes
Asparagus,Asparagus
Avocados,Avocados
Bananas,Bananas
Barley,Barley
Beans; dry,Beans; dry
Beans; green,Broad beans and horse beans; green
Berries nes,Other berries and fruits of the genus vaccinium n.e.c.
Blueberries,Blueberries
Brazil nuts; with shell,Brazil nuts; in shell
Broad beans; horse beans; dry,Broad beans and horse beans; dry
Cabbages and other brassicas,Cabbages
Carrots and turnips,Carrots and turnips
Cashew nuts; with shell,Cashew nuts; in shell
Cauliflowers and broccoli,Cauliflowers and broccoli
Cherries,Cherries
Cherries; sour,Sour cherries
Chestnut,Chestnuts; in shell
Chick peas,Chick peas; dry
Chillies and peppers; dry,Chillies and peppers; dry (Capsicum spp.; Pimenta spp.); raw
Chillies and peppers; green,Chillies and peppers; green (Capsicum spp. and Pimenta spp.)
Cinnamon (cannella),Cinnamon and cinnamon-tree flowers; raw
Cocoa; beans,Cocoa beans
Coconuts,Coconuts; in shell
Coffee; green,Coffee; green
Cranberries,Cranberries
Cucumbers and gherkins,Cucumbers and gherkins
Currants,Currants
Dates,Dates
Eggplants (aubergines),Eggplants (aubergines)
Eggs; hen; in shell,Hen eggs in shell; fresh
Eggs; other bird; in shell,Eggs from other birds in shell; fresh; n.e.c.
Figs,Figs
Fruit; fresh nes,Other fruits; n.e.c.
Fruit; tropical fresh nes,Other tropical fruits; n.e.c.
Garlic,Green garlic
Ginger,Ginger; raw
Gooseberries,Gooseberries
Grain; mixed,Mixed grain
Grapefruit (inc. pomelos),Pomelos and grapefruits
Grapes,Grapes
Groundnuts; with shell,Groundnuts; excluding shelled
Hazelnuts; with shell,Hazelnuts; in shell
Kiwi fruit,Kiwi fruit
Leeks; other alliaceous vegetables,Leeks and other alliaceous vegetables
Lemons and limes,Lemons and limes
Lentils,Lentils; dry
Lettuce and chicory,Lettuce and chicory
Maize,Maize (corn)
Maize; green,Green corn (maize)
Mangoes; mangosteens; guavas,Mangoes; guavas and mangosteens
Meat nes,Other meat of mammals; fresh or chilled
Meat; cattle,Meat of cattle with the bone; fresh or chilled
Meat; buffalo,Meat of buffalo; fresh or chilled
Milk; whole fresh buffalo,Raw milk of buffalo
Meat; chicken,Meat of chickens; fresh or chilled
Meat; duck,Meat of ducks; fresh or chilled
Meat; goat,Meat of goat; fresh or chilled
Meat; goose and guinea fowl,Meat of geese; fresh or chilled
Meat; horse,Horse meat; fresh or chilled
Meat; pig,Meat of pig with the bone; fresh or chilled
Meat; rabbit,Zero
Meat; sheep,Meat of sheep; fresh or chilled
Meat; turkey,Meat of turkeys; fresh or chilled
Melons; other (inc.cantaloupes),Cantaloupes and other melons
Milk; whole fresh cow,Raw milk of cattle
Mushrooms and truffles,Mushrooms and truffles
Mustard seed,Mustard seed
Nutmeg; mace and cardamoms,Nutmeg; mace; cardamoms; raw
Nuts nes,Other nuts (excluding wild edible nuts and groundnuts); in shell; n.e.c.
Oats,Oats
Olives,Olives
Onions; dry,Onions and shallots; dry (excluding dehydrated)
Onions; shallots; green,Onions and shallots; green
Oranges,Oranges
Papayas,Papayas
Peaches and nectarines,Peaches and nectarines
Pears,Pears
Peas; dry,Peas; dry
Peas; green,Peas; green
Pepper (piper spp.),Pepper (Piper spp.); raw
Persimmons,Persimmons
Pineapples,Pineapples
Pistachios,Pistachios; in shell
Plantains and others,Plantains and cooking bananas
Plums and sloes,Plums and sloes
Potatoes,Potatoes
Pulses nes,Other pulses n.e.c.
Pumpkins; squash and gourds,Pumpkins; squash and gourds
Quinces,Quinces
Quinoa,Quinoa
Rapeseed,Rape or colza seed
Raspberries,Raspberries
Rice; paddy,Rice
Sesame seed,Sesame seed
Soybeans,Soya beans
Spices nes,Other stimulant; spice and aromatic crops; n.e.c.
Spinach,Spinach
Strawberries,Strawberries
Sunflower seed,Sunflower seed
Tangerines; mandarins; clementines; satsumas,Tangerines; mandarins; clementines
Tea,Tea leaves
Tomatoes,Tomatoes
Vegetables; fresh nes,Other vegetables; fresh n.e.c.
Vegetables; leguminous nes,Other vegetables; fresh n.e.c.
Walnuts; with shell,Walnuts; in shell
Watermelons,Watermelons
Wheat,Wheat
Sugar cane,Sugar cane
Oil palm fruit,Oil palm fruit
Sugar beet,Sugar beet
Cassava,Yams
Cheese,Raw milk of cattle
"Butter, Cream & Ghee",Raw milk of cattle
Water,Zero
Fish,Zero
Crustaceans,Zero